,Day,Month,PM10_mask,PM2.5,Retrospective,UTC Hour,Year
272,14,3,1.00,72.4,0,20,2016
273,14,3,1.00,73.6,0,21,2016
274,14,3,1.00,68.2,0,22,2016
275,14,3,1.00,63.6,0,23,2016
276,15,3,1.00,62.3,0,0,2016
277,15,3,1.00,55.9,0,1,2016
278,15,3,1.00,50.9,0,2,2016
279,15,3,1.00,39.6,0,3,2016
280,15,3,1.00,38.8,0,4,2016
281,15,3,1.00,49.4,0,5,2016
282,15,3,1.00,50.2,0,6,2016
283,15,3,1.00,57.4,0,7,2016
284,15,3,1.00,57.0,0,8,2016
285,15,3,1.00,51.7,0,9,2016
286,15,3,1.00,50.0,0,10,2016
287,15,3,1.00,46.4,0,11,2016
288,15,3,1.00,43.2,0,12,2016
289,15,3,1.00,45.4,0,13,2016
290,15,3,1.00,45.3,0,14,2016
291,15,3,1.00,46.6,0,15,2016
292,15,3,1.00,46.3,0,16,2016
293,15,3,1.00,48.5,0,17,2016
294,15,3,1.00,64.3,0,18,2016
295,15,3,1.00,67.0,0,19,2016
296,15,3,1.00,64.5,0,20,2016
297,15,3,1.00,67.6,0,21,2016
298,15,3,1.00,61.7,0,22,2016
299,15,3,1.00,30.5,0,23,2016
300,16,3,1.00,48.1,0,0,2016
301,16,3,1.00,44.5,0,1,2016
302,16,3,1.00,39.7,0,2,2016
303,16,3,1.00,36.0,0,5,2016
304,16,3,1.00,46.8,0,6,2016
305,16,3,1.00,47.9,0,7,2016
306,16,3,1.00,49.9,0,8,2016
307,16,3,1.00,54.3,0,9,2016
308,16,3,1.00,55.0,0,10,2016
309,16,3,1.00,55.9,0,11,2016
310,16,3,1.00,52.4,0,12,2016
311,16,3,1.00,50.4,0,13,2016
312,16,3,1.00,46.9,0,14,2016
313,16,3,1.00,44.9,0,15,2016
314,16,3,1.00,46.8,0,16,2016
315,16,3,1.00,46.2,0,17,2016
316,16,3,1.00,67.2,0,18,2016
317,16,3,1.00,61.9,0,19,2016
318,16,3,1.00,65.7,0,20,2016
319,16,3,1.00,66.4,0,21,2016
320,16,3,1.00,61.9,0,22,2016
321,16,3,1.00,51.9,0,23,2016
322,17,3,1.00,48.7,0,0,2016
323,17,3,1.00,43.2,0,1,2016
324,17,3,1.00,39.4,0,2,2016
325,17,3,1.00,38.0,0,3,2016
326,17,3,1.00,31.5,0,4,2016
