Date,latitude,longitude,PM2.5
2016-08-12,19.9086,99.8325,11.956521739130435
2016-08-13,19.9086,99.8325,12.841666666666669
2016-08-14,19.9086,99.8325,11.554166666666667
2016-08-15,19.9086,99.8325,12.445833333333333
2016-08-16,19.9086,99.8325,12.92608695652174
2016-08-17,19.9086,99.8325,16.44782608695653
2016-08-18,19.9086,99.8325,15.621739130434781
2016-08-19,19.9086,99.8325,10.079166666666667
2016-08-20,19.9086,99.8325,13.11304347826087
2016-08-21,19.9086,99.8325,21.512500000000003
2016-08-22,19.9086,99.8325,13.024999999999999
2016-08-23,19.9086,99.8325,13.265217391304347
2016-08-24,19.9086,99.8325,14.359090909090911
2016-08-25,19.9086,99.8325,13.043478260869565
2016-08-26,19.9086,99.8325,13.504166666666668
2016-08-27,19.9086,99.8325,8.766666666666667
2016-08-28,19.9086,99.8325,9.629166666666666
2016-08-29,19.9086,99.8325,13.243478260869562
2016-08-30,19.9086,99.8325,10.969565217391303
2016-08-31,19.9086,99.8325,10.365217391304348
2016-09-01,19.9086,99.8325,10.443478260869565
2016-09-02,19.9086,99.8325,12.299999999999999
2016-09-03,19.9086,99.8325,13.075
2016-09-04,19.9086,99.8325,16.216666666666665
2016-09-05,19.9086,99.8325,14.733333333333336
2016-09-06,19.9086,99.8325,16.61363636363636
2016-09-07,19.9086,99.8325,11.060869565217391
2016-09-08,19.9086,99.8325,12.837500000000004
2016-09-09,19.9086,99.8325,13.708333333333334
2016-09-10,19.9086,99.8325,11.60952380952381
2016-09-11,19.9086,99.8325,11.95217391304348
2016-09-12,19.9086,99.8325,14.090909090909088
2016-09-13,19.9086,99.8325,13.273913043478263
2016-09-14,19.9086,99.8325,16.165217391304342
2016-09-15,19.9086,99.8325,12.375
2016-09-16,19.9086,99.8325,5.5600000000000005
2016-09-18,19.9086,99.8325,7.716666666666666
2016-09-19,19.9086,99.8325,11.56086956521739
2016-09-20,19.9086,99.8325,14.660869565217393
2016-09-21,19.9086,99.8325,27.1608695652174
2016-09-22,19.9086,99.8325,30.71739130434782
2016-09-23,19.9086,99.8325,27.874999999999996
2016-09-24,19.9086,99.8325,15.7
2016-09-25,19.9086,99.8325,12.100000000000001
