Day,Month,PM10_mask,PM2.5,Retrospective,UTC Hour,Year
15,3,1.00,86.8,0,8,2016
15,3,1.00,85.5,0,9,2016
15,3,1.00,61.2,0,10,2016
15,3,1.00,56.9,0,11,2016
15,3,1.00,47.4,0,12,2016
15,3,1.00,55.0,0,13,2016
15,3,1.00,53.2,0,14,2016
15,3,1.00,54.6,0,15,2016
15,3,1.00,45.9,0,16,2016
15,3,1.00,49.6,0,17,2016
15,3,1.00,55.0,0,18,2016
15,3,1.00,57.1,0,19,2016
15,3,1.00,66.3,0,20,2016
15,3,1.00,99.9,0,21,2016
15,3,1.00,95.0,0,22,2016
15,3,1.00,65.9,0,23,2016
16,3,1.00,61.1,0,0,2016
16,3,1.00,56.4,0,1,2016
16,3,1.00,41.7,0,2,2016
16,3,1.00,59.7,0,5,2016
16,3,1.00,63.9,0,6,2016
16,3,1.00,69.7,0,7,2016
16,3,1.00,64.8,0,8,2016
16,3,1.00,66.7,0,9,2016
16,3,1.00,53.8,0,10,2016
16,3,1.00,76.3,0,11,2016
16,3,1.00,48.9,0,12,2016
16,3,1.00,52.5,0,13,2016
16,3,1.00,77.6,0,14,2016
16,3,1.00,76.6,0,15,2016
16,3,1.00,79.7,0,16,2016
16,3,1.00,58.3,0,17,2016
16,3,1.00,82.8,0,18,2016
16,3,1.00,90.1,0,19,2016
16,3,1.00,103.5,0,20,2016
16,3,1.00,108.7,0,21,2016
16,3,1.00,112.8,0,22,2016
16,3,1.00,72.7,0,23,2016
17,3,1.00,51.2,0,0,2016
17,3,1.00,47.9,0,1,2016
17,3,1.00,50.2,0,2,2016
17,3,1.00,23.2,0,3,2016
17,3,1.00,32.7,0,4,2016
17,3,1.00,44.5,0,5,2016
17,3,1.00,56.4,0,6,2016
17,3,1.00,64.0,0,7,2016
17,3,1.00,83.3,0,8,2016
17,3,1.00,72.7,0,9,2016
17,3,1.00,66.3,0,10,2016
17,3,1.00,63.3,0,11,2016
17,3,1.00,70.0,0,12,2016
17,3,1.00,65.7,0,13,2016
17,3,1.00,62.0,0,14,2016
17,3,1.00,61.6,0,15,2016
17,3,1.00,85.9,0,16,2016
17,3,1.00,84.4,0,17,2016
17,3,1.00,87.4,0,18,2016
17,3,1.00,92.8,0,19,2016
17,3,1.00,104.2,0,20,2016
17,3,1.00,109.3,0,21,2016
17,3,1.00,105.2,0,22,2016
17,3,1.00,107.9,0,23,2016
18,3,1.00,99.0,0,0,2016
18,3,1.00,79.5,0,1,2016
18,3,1.00,76.8,0,2,2016
18,3,1.00,80.8,0,3,2016
18,3,1.00,85.8,0,4,2016
18,3,1.00,75.7,0,5,2016
18,3,1.00,72.6,0,6,2016
18,3,1.00,84.6,0,7,2016
18,3,1.00,89.7,0,8,2016
18,3,1.00,80.0,0,9,2016
18,3,1.00,77.4,0,10,2016
18,3,1.00,94.3,0,11,2016
18,3,1.00,103.2,0,12,2016
18,3,1.00,120.1,0,13,2016
18,3,1.00,93.8,0,14,2016
18,3,1.00,110.3,0,15,2016
18,3,1.00,110.0,0,16,2016
18,3,1.00,131.6,0,17,2016
18,3,1.00,130.5,0,18,2016
18,3,1.00,134.6,0,19,2016
18,3,1.00,140.7,0,20,2016
18,3,1.00,138.9,0,21,2016
18,3,1.00,145.1,0,22,2016
18,3,1.00,131.7,0,23,2016
19,3,1.00,114.5,0,0,2016
19,3,0.00,177.0,0,1,2016
19,3,0.00,150.0,0,2,2016
19,3,0.00,136.9,0,3,2016
19,3,1.00,150.8,0,4,2016
19,3,1.00,147.1,0,5,2016
19,3,1.00,146.9,0,6,2016
19,3,1.00,155.0,0,7,2016
19,3,1.00,156.7,0,8,2016
19,3,1.00,154.0,0,9,2016
19,3,1.00,160.7,0,10,2016
19,3,1.00,176.3,0,11,2016
19,3,1.00,182.2,0,12,2016
19,3,1.00,189.9,0,13,2016
19,3,1.00,188.4,0,14,2016
19,3,1.00,183.7,0,15,2016
19,3,1.00,186.8,0,16,2016
19,3,1.00,185.5,0,17,2016
19,3,1.00,178.0,0,18,2016
19,3,1.00,180.6,0,19,2016
19,3,1.00,181.3,0,20,2016
19,3,1.00,189.5,0,21,2016
19,3,1.00,191.2,0,22,2016
19,3,1.00,205.6,0,23,2016
20,3,1.00,201.1,0,0,2016
20,3,1.00,184.6,0,1,2016
20,3,1.00,152.3,0,2,2016
20,3,1.00,140.5,0,3,2016
20,3,1.00,121.0,0,4,2016
20,3,1.00,117.6,0,5,2016
20,3,1.00,127.4,0,6,2016
20,3,1.00,128.8,0,7,2016
20,3,1.00,147.5,0,8,2016
20,3,1.00,152.6,0,9,2016
20,3,1.00,121.9,0,10,2016
20,3,1.00,164.0,0,11,2016
20,3,1.00,167.0,0,12,2016
20,3,1.00,186.5,0,13,2016
20,3,1.00,137.3,0,14,2016
20,3,1.00,133.9,0,15,2016
20,3,1.00,185.1,0,16,2016
20,3,1.00,182.3,0,17,2016
20,3,1.00,135.1,0,18,2016
20,3,1.00,155.1,0,19,2016
20,3,1.00,189.8,0,20,2016
20,3,1.00,204.7,0,21,2016
20,3,1.00,194.6,0,22,2016
20,3,1.00,136.5,0,23,2016
21,3,1.00,132.8,0,0,2016
21,3,1.00,99.8,0,1,2016
21,3,1.00,69.2,0,2,2016
21,3,1.00,70.2,0,3,2016
21,3,1.00,105.7,0,4,2016
21,3,1.00,104.6,0,5,2016
21,3,1.00,100.6,0,6,2016
21,3,1.00,105.2,0,7,2016
21,3,1.00,116.2,0,8,2016
21,3,1.00,82.1,0,9,2016
21,3,1.00,68.0,0,10,2016
21,3,1.00,75.0,0,11,2016
21,3,1.00,76.0,0,12,2016
21,3,1.00,83.6,0,13,2016
21,3,1.00,86.3,0,14,2016
21,3,1.00,89.3,0,15,2016
21,3,1.00,95.4,0,16,2016
21,3,1.00,89.6,0,17,2016
21,3,1.00,92.9,0,18,2016
21,3,1.00,98.6,0,19,2016
21,3,1.00,112.6,0,20,2016
21,3,1.00,140.4,0,21,2016
21,3,1.00,115.1,0,22,2016
21,3,1.00,91.7,0,23,2016
22,3,1.00,136.5,0,0,2016
22,3,1.00,120.7,0,1,2016
22,3,1.00,105.4,0,2,2016
22,3,1.00,101.5,0,3,2016
22,3,1.00,95.6,0,4,2016
22,3,1.00,94.2,0,5,2016
22,3,1.00,88.0,0,6,2016
22,3,1.00,94.7,0,7,2016
22,3,1.00,108.4,0,8,2016
22,3,1.00,118.3,0,9,2016
22,3,1.00,70.3,0,10,2016
22,3,1.00,86.5,0,11,2016
22,3,1.00,95.2,0,12,2016
22,3,1.00,207.3,0,13,2016
22,3,1.00,151.8,0,14,2016
22,3,1.00,154.0,0,15,2016
22,3,1.00,159.9,0,16,2016
22,3,1.00,171.9,0,17,2016
22,3,1.00,177.0,0,18,2016
22,3,1.00,215.1,0,19,2016
22,3,1.00,227.8,0,20,2016
22,3,1.00,225.0,0,21,2016
22,3,1.00,222.2,0,22,2016
22,3,1.00,197.4,0,23,2016
23,3,1.00,175.1,0,0,2016
23,3,1.00,170.2,0,1,2016
23,3,1.00,134.6,0,2,2016
23,3,1.00,109.0,0,3,2016
23,3,1.00,104.0,0,4,2016
23,3,1.00,102.6,0,5,2016
23,3,1.00,107.7,0,6,2016
23,3,1.00,119.1,0,7,2016
23,3,1.00,124.0,0,8,2016
23,3,1.00,141.1,0,9,2016
23,3,1.00,141.5,0,10,2016
23,3,1.00,151.1,0,11,2016
23,3,1.00,100.1,0,12,2016
23,3,1.00,197.7,0,13,2016
23,3,1.00,221.5,0,14,2016
23,3,1.00,157.5,0,15,2016
23,3,1.00,176.1,0,16,2016
23,3,1.00,207.9,0,17,2016
23,3,1.00,241.7,0,18,2016
23,3,1.00,259.1,0,19,2016
23,3,1.00,244.0,0,20,2016
23,3,1.00,238.3,0,21,2016
23,3,1.00,229.1,0,22,2016
23,3,1.00,228.5,0,23,2016
24,3,1.00,203.1,0,0,2016
24,3,1.00,164.8,0,1,2016
24,3,1.00,155.1,0,2,2016
24,3,1.00,152.9,0,3,2016
24,3,1.00,151.5,0,4,2016
24,3,1.00,149.6,0,5,2016
24,3,1.00,153.0,0,6,2016
24,3,1.00,169.6,0,7,2016
24,3,1.00,180.3,0,8,2016
24,3,1.00,182.2,0,9,2016
24,3,1.00,186.1,0,10,2016
24,3,1.00,202.2,0,11,2016
24,3,1.00,196.6,0,12,2016
24,3,1.00,210.4,0,13,2016
24,3,1.00,224.3,0,14,2016
24,3,1.00,234.7,0,15,2016
24,3,1.00,236.3,0,16,2016
24,3,1.00,238.7,0,17,2016
24,3,1.00,244.0,0,18,2016
24,3,1.00,237.3,0,19,2016
24,3,1.00,205.9,0,20,2016
24,3,1.00,164.1,0,21,2016
24,3,1.00,99.5,0,22,2016
24,3,1.00,46.5,0,23,2016
25,3,1.00,45.5,0,0,2016
25,3,1.00,58.2,0,1,2016
25,3,1.00,54.0,0,2,2016
25,3,1.00,49.0,0,3,2016
25,3,1.00,56.3,0,4,2016
25,3,1.00,55.9,0,5,2016
25,3,1.00,53.8,0,6,2016
25,3,1.00,55.0,0,7,2016
25,3,1.00,45.9,0,8,2016
25,3,1.00,44.2,0,9,2016
25,3,1.00,49.7,0,10,2016
25,3,1.00,48.8,0,11,2016
25,3,1.00,55.6,0,12,2016
25,3,1.00,50.4,0,13,2016
25,3,1.00,48.1,0,14,2016
25,3,1.00,44.8,0,15,2016
25,3,1.00,53.2,0,16,2016
25,3,1.00,53.6,0,17,2016
25,3,1.00,53.0,0,18,2016
25,3,1.00,62.5,0,19,2016
25,3,1.00,63.0,0,20,2016
25,3,1.00,70.4,0,21,2016
25,3,1.00,64.8,0,22,2016
25,3,1.00,70.0,0,23,2016
26,3,1.00,72.3,0,0,2016
26,3,1.00,67.3,0,1,2016
26,3,1.00,67.3,0,2,2016
26,3,1.00,69.9,0,3,2016
26,3,1.00,72.6,0,4,2016
26,3,1.00,78.6,0,5,2016
26,3,1.00,79.0,0,6,2016
26,3,1.00,81.1,0,7,2016
26,3,1.00,80.6,0,8,2016
26,3,1.00,82.6,0,9,2016
26,3,1.00,87.2,0,10,2016
26,3,1.00,82.4,0,11,2016
26,3,1.00,78.1,0,12,2016
26,3,1.00,76.0,0,13,2016
26,3,1.00,81.7,0,14,2016
26,3,1.00,88.7,0,15,2016
26,3,1.00,94.5,0,16,2016
26,3,1.00,95.8,0,17,2016
26,3,1.00,92.0,0,18,2016
26,3,1.00,87.9,0,19,2016
26,3,1.00,89.4,0,20,2016
26,3,1.00,110.6,0,21,2016
26,3,1.00,116.1,0,22,2016
26,3,1.00,104.3,0,23,2016
27,3,1.00,98.8,0,0,2016
27,3,1.00,93.1,0,1,2016
27,3,1.00,76.5,0,2,2016
27,3,1.00,77.3,0,3,2016
27,3,1.00,78.6,0,4,2016
27,3,1.00,85.4,0,5,2016
27,3,1.00,82.6,0,6,2016
27,3,1.00,81.6,0,7,2016
27,3,1.00,80.8,0,8,2016
27,3,1.00,75.1,0,9,2016
27,3,1.00,76.6,0,10,2016
27,3,1.00,70.4,0,11,2016
27,3,1.00,58.1,0,12,2016
27,3,1.00,52.4,0,13,2016
27,3,1.00,43.4,0,14,2016
27,3,1.00,47.4,0,15,2016
27,3,1.00,51.2,0,16,2016
27,3,1.00,52.4,0,17,2016
27,3,1.00,47.3,0,18,2016
27,3,1.00,45.6,0,19,2016
27,3,1.00,45.8,0,20,2016
27,3,1.00,58.0,0,21,2016
27,3,1.00,68.7,0,22,2016
27,3,1.00,74.7,0,23,2016
28,3,1.00,74.5,0,0,2016
28,3,1.00,67.2,0,1,2016
28,3,1.00,61.7,0,3,2016
28,3,1.00,68.4,0,4,2016
28,3,1.00,67.3,0,5,2016
28,3,1.00,72.6,0,6,2016
28,3,1.00,80.6,0,7,2016
28,3,1.00,85.9,0,8,2016
28,3,1.00,94.6,0,9,2016
28,3,1.00,90.4,0,10,2016
28,3,1.00,89.2,0,11,2016
28,3,1.00,87.8,0,12,2016
28,3,1.00,89.1,0,13,2016
28,3,1.00,81.1,0,14,2016
28,3,1.00,79.8,0,15,2016
28,3,1.00,85.9,0,16,2016
28,3,1.00,90.2,0,18,2016
28,3,1.00,93.7,0,19,2016
