Date,Day,Month,PM10_mask,PM2.5,Retrospective,UTC Hour,Year,latitude,longitude
2016-03-08,8,3,1.00,50.7,0,6,2016,18.7904,98.9847
2016-03-08,8,3,1.00,35.6,0,7,2016,18.7904,98.9847
2016-03-08,8,3,1.00,40.8,0,8,2016,18.7904,98.9847
2016-03-08,8,3,1.00,42.5,0,9,2016,18.7904,98.9847
2016-03-08,8,3,1.00,42.7,0,10,2016,18.7904,98.9847
2016-03-08,8,3,1.00,40.0,0,11,2016,18.7904,98.9847
2016-03-08,8,3,1.00,41.7,0,12,2016,18.7904,98.9847
2016-03-08,8,3,1.00,45.0,0,13,2016,18.7904,98.9847
2016-03-08,8,3,1.00,41.3,0,14,2016,18.7904,98.9847
2016-03-08,8,3,1.00,39.6,0,15,2016,18.7904,98.9847
2016-03-08,8,3,1.00,43.2,0,16,2016,18.7904,98.9847
2016-03-08,8,3,1.00,44.4,0,17,2016,18.7904,98.9847
2016-03-08,8,3,1.00,46.0,0,18,2016,18.7904,98.9847
2016-03-08,8,3,1.00,45.8,0,19,2016,18.7904,98.9847
2016-03-08,8,3,1.00,48.8,0,20,2016,18.7904,98.9847
2016-03-08,8,3,1.00,47.6,0,21,2016,18.7904,98.9847
2016-03-08,8,3,1.00,46.5,0,22,2016,18.7904,98.9847
2016-03-08,8,3,1.00,42.1,0,23,2016,18.7904,98.9847
2016-03-09,9,3,1.00,43.8,0,0,2016,18.7904,98.9847
2016-03-09,9,3,1.00,40.8,0,1,2016,18.7904,98.9847
2016-03-09,9,3,1.00,40.2,0,2,2016,18.7904,98.9847
2016-03-09,9,3,1.00,38.7,0,3,2016,18.7904,98.9847
2016-03-09,9,3,1.00,39.6,0,4,2016,18.7904,98.9847
2016-03-09,9,3,1.00,46.8,0,5,2016,18.7904,98.9847
2016-03-09,9,3,1.00,39.5,0,6,2016,18.7904,98.9847
2016-03-09,9,3,1.00,38.4,0,7,2016,18.7904,98.9847
2016-03-09,9,3,1.00,47.9,0,8,2016,18.7904,98.9847
2016-03-09,9,3,1.00,45.0,0,9,2016,18.7904,98.9847
2016-03-09,9,3,1.00,49.2,0,10,2016,18.7904,98.9847
2016-03-09,9,3,1.00,51.3,0,11,2016,18.7904,98.9847
2016-03-09,9,3,1.00,48.9,0,12,2016,18.7904,98.9847
2016-03-09,9,3,1.00,52.1,0,13,2016,18.7904,98.9847
2016-03-09,9,3,1.00,46.8,0,14,2016,18.7904,98.9847
2016-03-09,9,3,1.00,46.8,0,15,2016,18.7904,98.9847
2016-03-09,9,3,1.00,44.3,0,16,2016,18.7904,98.9847
2016-03-09,9,3,1.00,50.2,0,17,2016,18.7904,98.9847
2016-03-09,9,3,1.00,55.3,0,18,2016,18.7904,98.9847
2016-03-09,9,3,1.00,56.3,0,19,2016,18.7904,98.9847
2016-03-09,9,3,1.00,59.7,0,20,2016,18.7904,98.9847
2016-03-09,9,3,1.00,61.2,0,21,2016,18.7904,98.9847
2016-03-09,9,3,1.00,54.7,0,22,2016,18.7904,98.9847
2016-03-09,9,3,1.00,54.0,0,23,2016,18.7904,98.9847
2016-03-10,10,3,1.00,51.2,0,0,2016,18.7904,98.9847
2016-03-10,10,3,1.00,45.5,0,2,2016,18.7904,98.9847
2016-03-10,10,3,1.00,44.8,0,3,2016,18.7904,98.9847
2016-03-10,10,3,1.00,41.9,0,4,2016,18.7904,98.9847
2016-03-10,10,3,1.00,44.4,0,5,2016,18.7904,98.9847
2016-03-10,10,3,1.00,46.7,0,6,2016,18.7904,98.9847
2016-03-10,10,3,1.00,53.3,0,7,2016,18.7904,98.9847
2016-03-10,10,3,1.00,48.7,0,8,2016,18.7904,98.9847
2016-03-10,10,3,1.00,46.1,0,9,2016,18.7904,98.9847
2016-03-10,10,3,1.00,52.5,0,10,2016,18.7904,98.9847
2016-03-10,10,3,1.00,45.9,0,11,2016,18.7904,98.9847
2016-03-10,10,3,1.00,43.2,0,12,2016,18.7904,98.9847
2016-03-10,10,3,1.00,36.9,0,13,2016,18.7904,98.9847
2016-03-10,10,3,1.00,37.6,0,14,2016,18.7904,98.9847
2016-03-10,10,3,1.00,41.0,0,15,2016,18.7904,98.9847
2016-03-10,10,3,1.00,50.3,0,16,2016,18.7904,98.9847
2016-03-10,10,3,1.00,51.5,0,17,2016,18.7904,98.9847
2016-03-10,10,3,1.00,63.1,0,18,2016,18.7904,98.9847
2016-03-10,10,3,1.00,65.2,0,19,2016,18.7904,98.9847
2016-03-10,10,3,1.00,66.4,0,20,2016,18.7904,98.9847
2016-03-10,10,3,1.00,66.4,0,21,2016,18.7904,98.9847
2016-03-10,10,3,1.00,65.6,0,22,2016,18.7904,98.9847
2016-03-10,10,3,1.00,72.5,0,23,2016,18.7904,98.9847
2016-03-11,11,3,1.00,51.0,0,0,2016,18.7904,98.9847
2016-03-11,11,3,1.00,63.5,0,1,2016,18.7904,98.9847
2016-03-11,11,3,1.00,63.5,0,2,2016,18.7904,98.9847
2016-03-11,11,3,1.00,63.5,0,3,2016,18.7904,98.9847
2016-03-11,11,3,1.00,63.5,0,4,2016,18.7904,98.9847
2016-03-11,11,3,1.00,63.9,0,5,2016,18.7904,98.9847
2016-03-11,11,3,1.00,64.0,0,6,2016,18.7904,98.9847
2016-03-11,11,3,1.00,64.0,0,7,2016,18.7904,98.9847
2016-03-11,11,3,1.00,64.0,0,8,2016,18.7904,98.9847
2016-03-11,11,3,1.00,64.0,0,9,2016,18.7904,98.9847
2016-03-11,11,3,1.00,64.0,0,10,2016,18.7904,98.9847
2016-03-11,11,3,1.00,64.0,0,11,2016,18.7904,98.9847
2016-03-11,11,3,1.00,64.0,0,12,2016,18.7904,98.9847
2016-03-11,11,3,1.00,63.5,0,13,2016,18.7904,98.9847
2016-03-11,11,3,1.00,63.6,0,14,2016,18.7904,98.9847
2016-03-11,11,3,1.00,63.6,0,15,2016,18.7904,98.9847
2016-03-11,11,3,1.00,63.6,0,16,2016,18.7904,98.9847
